Record Date,Country - Currency Description,Exchange Rate,Effective Date,ISO Code
2025-09-30,Mali-Cfa Franc,555.75,2025-09-30,XOF
2025-09-30,Marshall Islands-U.S. Dollar,1.0,2025-09-30,USD
2025-09-30,Mauritania-Ouguiya,39.81,2025-09-30,MRU
2025-09-30,Mauritius-Rupee,45.51,2025-09-30,MUR
2025-09-30,Mexico-Peso,18.344,2025-09-30,MXN
2025-09-30,Micronesia-U.S. Dollar,1.0,2025-09-30,USD
2025-09-30,Moldova-Leu,16.57,2025-09-30,MDL
2025-09-30,Mongolia-Tugrik,3595.0,2025-09-30,MNT
2025-09-30,Morocco-Dirham,9.081,2025-09-30,MAD
2025-09-30,Mozambique-Metical,63.27,2025-09-30,MZN
2025-09-30,Myanmar-Kyat,3643.0,2025-09-30,MMK
2025-09-30,Namibia-Dollar,17.269,2025-09-30,NAD
2025-09-30,Nepal-Rupee,142.06,2025-09-30,NPR
2025-09-30,New Zealand-Dollar,1.726,2025-09-30,NZD
2025-09-30,Nicaragua-Cordoba,36.6,2025-09-30,NIO
2025-09-30,Niger-Cfa Franc,555.75,2025-09-30,XOF
2025-09-30,Nigeria-Naira,1490.0,2025-09-30,NGN
2025-09-30,Norway-Krone,9.983,2025-09-30,NOK
2025-09-30,Oman-Rial,0.385,2025-09-30,OMR
2025-09-30,Pakistan-Rupee,282.18,2025-09-30,PKR
2025-09-30,Palau-Dollar,1.0,2025-09-30,USD
2025-09-30,Panama-Dolares,1.0,2025-09-30,USD
2025-09-30,Papua New Guinea-Kina,4.179,2025-09-30,PGK
2025-09-30,Paraguay-Guarani,7035.0,2025-09-30,PYG
2025-09-30,Peru-Sol,3.477,2025-09-30,PEN
2025-09-30,Philippines-Peso,58.218,2025-09-30,PHP
2025-09-30,Poland-Zloty,3.638,2025-09-30,PLN
2025-09-30,Qatar-Riyal,3.64,2025-09-30,QAR
2025-09-30,Republic Of North Macedonia-Denar,52.22,2025-09-30,MKD
2025-09-30,Romania-New Leu,4.327,2025-09-30,RON
2025-09-30,Russia-Ruble,82.45,2025-09-30,RUB
2025-09-30,Rwanda-Franc,1435.0,2025-09-30,RWF
2025-09-30,Sao Tome & Principe-New Dobras,20.868,2025-09-30,STN
2025-09-30,Saudi Arabia-Riyal,3.75,2025-09-30,SAR
2025-09-30,Senegal-Cfa Franc,555.75,2025-09-30,XOF
2025-09-30,Serbia-Dinar,99.74,2025-09-30,RSD
2025-09-30,Seychelles-Rupee,14.618,2025-09-30,SCR
2025-09-30,Sierra Leone-Leone,22.85,2025-09-30,SLE
2025-09-30,Singapore-Dollar,1.29,2025-09-30,SGD
2025-09-30,Solomon Islands-Dollar,7.924,2025-09-30,SBD
2025-09-30,Somali-Shilling,568.0,2025-09-30,SOS
2025-09-30,South Africa-Rand,17.269,2025-09-30,ZAR
2025-09-30,South Sudan-Sudanese Pound,4600.0,2025-09-30,SSP
2025-09-30,Sri Lanka-Rupee,302.5,2025-09-30,LKR
2025-09-30,St. Lucia-East Caribbean Dollar,2.7,2025-09-30,XCD
2025-09-30,Sudan-Pound,2400.0,2025-09-30,SDG
2025-09-30,Suriname-Dollar,37.45,2025-09-30,SRD
